調味料,鹽,10332,小匙,3272,,7,茶匙,1962,適量,786,少許,2358,兩,4,小瓶,1,大匙,462,少量,1,cc,1,/茶匙,1,㏄,2,克,16,公克,1186,酌量,1,微量,1,斤,2,60,1,碗,1,杯,20,g,196,花匙,1,包,1,片,1,匙,46,中匙,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
調味料,砂糖,10067,小匙,2236,,7,個,2,cl,2,茶匙,1365,適量,318,公,2,少許,575,兩,10,+1/2大匙,1,公克。,1,量杯,2,大匙,1972,大杯,1,cc,2,/茶匙,1,㏄,6,克,58,公克,2838,酌量,5,罐,1,G,1,560,1,洗匙,1,斤,7,大匙半,3,碗,4,公克.,1,T,1,大醬,1,杯,115,茶匙半,2,/2小匙,1,g,464,匙,46,中匙,4,+1/2小匙,1,小匙半,1,湯匙,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
調味料,水,9162,小匙,167,,24,杯半,2,粒,1,瓶,1,茶匙,186,cc.,1,適量,564,大碗,1,少許,260,兩,6,+1/2大匙,1,公升,20,湯碗,1,量杯,8,c.c.,23,大匙,1239,小茶匙,1,ＣＣ,15,OOCC,1,少量,1,公斤,4,4,1,cc,1062,匙,11,㏄,3324,克,5,公克,1001,酌量,4,C.C,16,斤,7,/大匙,1,CC,133,大茶匙,1,罐,5,㏄。,1,碗,129,大湯匙,1,Ｃ.Ｃ.,4,-850㏄,1,隻,1,杯,924,c,2,℃,1,g,121,ml,4,鍋,8,盤,1,Ｃ,1,C.C.,1,c.c,49,+1/2小匙,1,湯匙,5,大杯,2
調味料,蒜,5130,小匙,308,,4,粒,980,個,83,茶匙,256,顆,509,根,5,大棵,1,適量,96,瓣,222,少許,166,ｇ,1,155,1,球,1,瓣(切片),1,600,2,-5大顆,1,大匙,458,條,2,1,2,2,1,大顆,2,㏄,8,克,93,辦,2,公克,1647,顆末,1,-3小匙,1,1月2日,1,10,1,斤,3,粒量,1,碗,7,地瓜粉,1,公分,1,粒(切絲),1,數片,1,支,41,杯,16,酌量,1,-5瓣,1,g,198,小段,1,鍋,1,包,1,片,11,匙,6,中匙,4,兩,9,湯匙,18,,,,,,,,
調味料,胡椒粉,5091,小匙,1131,,1,錢,7,個,1,茶匙,678,適量,623,少許,2196,兩,1,粒,7,小包,2,大匙,185,茶,1,cc,5,㏄,3,克,5,公克,143,酌量,7,200,1,240,1,杯,2,份,1,g,51,包,11,片,4,匙,17,t,1,少量,1,隨意,3,湯匙,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
調味料,醬油,4625,小匙,820,,2,大,1,瓶,3,茶匙,437,0.5,1,適量,80,少許,144,ｇ,1,+1/2大匙,2,c.c.,1,大匙,1969,ＣＣ,8,小匙鹽,1,cc,183,㏄,571,克,3,公克,141,份,1,中匙,1,CC,14,大匙半,1,碗,14,大湯匙,1,半杯,1,紹許,1,數滴,2,杯,127,酌量,1,大匙。,1,g,23,鍋,1,滴,7,小杯,1,匙,18,t,2,C.C,9,㏄作法,1,兩,1,c.c,12,湯匙,17,,,,,,,,,,,,,,,,,,,,,,,,,,
調味料,薑,4486,小匙,159,,2,小塊,68,茶匙,145,根,1,適量,172,少許,221,茶包,1,錢,1,250,1,大匙,164,條,1,1,2,cc,6,3,1,㏄,15,克,149,公克,2442,酌量,2,朵,5,-6片,1,200,1,兩,20,大片,1,斤,3,碗,4,數片,21,支,7,杯,20,段,2,塊,65,g,136,小段,19,大塊,1,包,1,片,615,罐,1,匙,7,ｇ,1,湯匙,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
調味料,蔥,4471,小匙,69,,1,個,1,茶匙,58,根,770,適量,228,少許,294,兩,7,枝,32,80,1,把,2,小把,2,大匙,243,大支,1,條,16,1,2,3,1,㏄,5,克,51,6,1,公克,1220,500,1,斤,12,汁,1,碗,7,數片,1,隻,3,支,1326,杯,33,段,7,支公克,1,g,58,小段,1,數支,1,片,3,跟,1,匙,4,隨意,1,湯匙,4,茶匙盤即可。,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
調味料,辣椒,4204,小匙,332,,6,600,1,茶匙,156,顆,1,根,479,適量,153,少許,201,兩,6,100,1,枝,3,茶匙。,1,個,5,大匙,598,公斤,1,小條,4,條,816,1,2,cc,4,㏄,19,克,24,公克,899,酌量,3,-6片,1,罐,2,小支,1,10,1,700,1,斤,5,大匙半,1,碗,1,數滴,2,隻,2,-2根,1,支,342,杯,21,15,1,g,75,小段,1,滴,2,包,5,片,15,匙,2,中匙,7,隨意,7,湯匙,4,,,,,,,,,,,,,,,,
調味料,米酒,3942,小匙,549,,1,瓶,33,茶匙,214,適量,75,少許,222,兩,1,量杯,1,小碗,1,大匙,2107,ＣＣ,1,cc,90,㏄,442,克,2,公克,48,酌量,2,c.c,13,CC,13,碗,7,T,1,大湯匙,1,杯,78,g,4,瓶半,1,匙,9,中匙,8,C.C,9,隨意,3,湯匙,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
