丁香魚,丁香魚,97.6666666666667,211.166666666667,2.13337209302333
雞翅,三節翅,67.6666666666667,156.666666666667,20.2955555555667
中筋麵粉,中筋麵粉,100,264.333333333333,3.61
桃子,久保桃,100,41.5,0.415
鮑魚,九孔螺,100,66.5,0.92
九層塔,九層塔,114.25,37.2,0.32238853503175
起司,乳酪,93.6363636363636,172.428571428571,2.05909090909091
雞翅,二節翅,100,159,2.275
豬五花肉,五花肉,70.2,284.166666666667,32.318
五香粉,五香粉,71.6666666666667,266.666666666667,3.74333333333333
人參果,人參果,96,82.3333333333333,0.859696969697
人參果,人心果,92.5,71.5,0.7679411764705
乳瑪琳,人造奶油,14.5,100,6.904761904765
蛋黃果,仙桃,87.5,104.2,0.885
低筋麵粉,低筋麵粉,100,266.333333333333,3.635
佛手瓜,佛手瓜,100,20.1428571428571,0.201428571428571
假人蔘,假人蔘,100,32,0.32
板豆腐,傳統豆腐,100,79,0.88
優格,優格,NA,134,NA
優酪乳,優酪乳,107.692307692308,93.625,0.703076923076923
豬絞肉,免治豬肉,100,254.076923076923,2.54076923076923
雞蛋,全蛋,50,80,1.6
全雞,全雞,67,183,24.6
土司,全麥土司,100,181,2.9
全麥麵粉,全麥麵粉,100,214.5,3.58
八角,八角,100,277.666666666667,2.77666666666667
在來米粉,再來米粉,100,316.5,3.52
冬瓜,冬瓜,141.25,21.6666666666667,0.16313177506775
冬瓜茶,冬瓜茶,100,71.6666666666667,0.33
筍,冬筍,155,46.75,0.33
冬粉,冬粉,23,96.6666666666667,3.47826086957
香菇,冬菇,96.5,180,1.8862790697675
冬菜,冬菜,100,48,0.48
冬蟲夏草,冬蟲夏草,100,292,2.92
冰淇淋,冰淇淋,86,148.285714285714,1.662045454545
冰糖,冰糖,76.5714285714286,302.285714285714,3.93850340136
凍豆腐,凍豆腐,70.5,121.5,1.6106097561
刀削麵,刀削麵,100,224.333333333333,2.685
加州李,加州李,83.25,57.3333333333333,5.5345512820595
大白菜,包心白菜,100,12,0.12
高麗菜,包心菜,145,30,0.206896551724
千張,千張,100,260.666666666667,2.60666666666667
南瓜,南瓜,101,44.1764705882353,0.430866646666882
南瓜子,南瓜子,82.7,383.833333333333,5.377480392157
豆腐,南豆腐,100,57,0.57
高湯,原味高湯,100,2,0.02
厥子,厥子,100,23,0.23
叉燒肉,叉燒肉,78.5,208.5,3.3135714285725
可可粉,可可粉,100,275.25,3.36333333333333
可樂,可樂,296.666666666667,124.25,0.399398496240333
土司,吐司,29,75,2.75862068966
吳郭魚,吳郭魚,79,74.6666666666667,1.224655172415
味噌,味噌,100,113.5,2.22
味精,味精,100,259.75,2.5975
咖哩,咖哩粉,57.5,130.75,4.17
咖哩醬,咖哩醬,100,97.3333333333333,0.973333333333333
咖啡,咖啡,2263.75,67.25,0.136866197183
咖啡,咖啡豆,100,246,3.245
哈密瓜,哈密瓜,244.2,86.7142857142857,0.2928334714168
哈密瓜,哈蜜瓜,184.2,44,2.1832967032966
啤酒,啤酒,95.1666666666667,101.888888888889,0.789460093896667
嘉寶瓜,嘉寶瓜,100,43,0.43
菜豆,四季豆,106.538461538462,71.1538461538462,1.74190155997592
糯米,圓糯米,100,323,3.59
芒果,土芒果,100,55,0.55
芭樂,土芭樂,52,56,7.695
雞蛋,土雞蛋,100,95,1.23
米,在來米,100,319.5,3.55
地瓜粉,地瓜粉,100,336,3.36
埔里米粉,埔里米粉,100,319.5,3.55
培根,培根,36.125,125.7,4.1583991228075
塘虱?,塘虱,100,172,1.72
花枝,墨魚,86,162.363636363636,1.89811783709636
草莓,士多啤梨,100,60.5555555555556,0.605555555555556
壽司米,壽司米,100,315.5,3.51
大白菜,大白菜,98.2222222222222,16.8888888888889,0.171968265217722
芥菜,大菜,100,166,1.66
大芥菜,大葉芥菜,80.6666666666667,14,0.178122065728
蒜,大蒜,88.8888888888889,155.888888888889,1.71581699346444
蔥,大蔥,91,32.25,0.3554268292685
黃豆,大豆,100,316.6,3.166
黃豆芽,大豆芽,100,106.8,1.068
豬里肌,大里肌,67,144.333333333333,22.8933333333333
大頭菜,大頭菜,125.142857142857,40.8571428571429,0.335693581780571
大麥,大麥,100,327,3.27
奇異果,奇異果,128.666666666667,54.6923076923077,0.454520911360833
奶油,奶油,67.375,352.9,6.51230519480625
起司,奶油乳酪,12.75,46.5,3.6625
奶粉,奶粉,100,226,3.62
奶精,奶精,100,270.75,4.93
奶茶,奶茶,318,101.8,0.3392365225836
酒,威士忌,83,184.4,2.4575
娃娃菜,娃娃菜,100,10.5,0.105
豆腐,嫩豆腐,100,57.6666666666667,0.51
蘋果,富士蘋果,100,49.5,0.495
小卷,小卷,78.75,61.5,1.0778571428575
