再來米粉,100,316.5,3.52
冬南瓜,100,36.6666666666667,0.366666666666667
冬寒菜,89.5,31,0.3643103448275
冬果梨,97.4,44.6,0.4570574712644
冬瓜,141.25,21.6666666666667,0.16313177506775
冬瓜湯,35,43,2.06
冬瓜糖磚,100,277.5,3.7
冬瓜茶,100,71.6666666666667,0.33
冬筍,155,46.75,0.33
冬粉,23,96.6666666666667,3.47826086957
冬莧菜,100,27.5,0.275
冬菇,96.5,180,1.8862790697675
冬菜,100,48,0.48
冬蟲夏草,100,292,2.92
冬蟲夏草茶,100,44,0.26
冰棍,100,47,0.47
冰棒,100,84,0.84
冰淇淋,86,148.285714285714,1.662045454545
冰淇淋粉,100,350.333333333333,4.095
冰激淩,100,190.25,1.9025
冰磚,100,153,1.53
冰糖,76.5714285714286,302.285714285714,3.93850340136
冷凍木耳,100,28,0.51
冷凍毛豆,100,99,1.32
冷凍洋菇,100,21,0.39
冷凍熟烤雞翅,100,151,2.16
冷凍玉米,100,174,1.74
冷凍竹筍,100,17,0.17
冷凍胡蘿蔔,100,13,0.13
冷凍芋頭,100,113.5,1.47
冷凍花椰菜,100,21,0.21
冷凍荔枝,100,42,0.28
冷凍菜豆,100,61,0.61
冷凍菠菜,100,17,0.17
冷凍薯條,100,120.5,1.56
冷凍豌豆,100,93.5,1.29
冷凍青花菜,100,28,0.28
冷凍饅頭,100,249.5,2.855
冷凍高麗菜,100,35,0.35
凍豆腐,70.5,121.5,1.6106097561
凍頂烏龍茶,100,0,0
凱薩沙律醬,100,326,3.26
刀削麵,100,224.333333333333,2.685
刀豆,84.5,47.75,0.71989130434725
分蔥,100,33,0.33
利馬豆,100,178.888888888889,1.78888888888889
刺兒菜,100,38,0.38
刺梨,100,57.6666666666667,0.576666666666667
刺蛄,100,77,0.77
劍南春,100,267,2.67
劍魚,100,138,1.38
加值活性飲料,100,54,0.32
加州李,83.25,57.3333333333333,5.5345512820595
加州葡萄,52,66,10.06
加拿大豬煙肉,100,171,1.71
加鈣米,100,319.5,3.55
加鈣豆漿,100,98.5,0.58
勁辣雞腿堡,171,420.5,2.44498730744
動物性奶油,100,363,6.79
動物油,5,45,9
包子,100,225,2.25
包心白菜,100,12,0.12
包心菜,145,30,0.206896551724
包種茶,100,8,0.16
北五味子葉,100,70,0.7
北京填鴨,91.6666666666667,424.666666666667,4.71777777777667
北京烤鴨,95,436,4.6325
北鳳菌,100,14,0.14
千島沙律醬,100,251.6,2.516
千張,100,260.666666666667,2.60666666666667
午餐肉,137.5,268.625,2.358125
午餐肚,100,181,1.81
午餐腸,100,261,2.61
半天筍,100,31,0.31
南歐朝鮮薊,100,19.6666666666667,0.196666666666667
南瓜,101,44.1764705882353,0.430866646666882
南瓜仁,100,569,5.69
南瓜子,82.7,383.833333333333,5.377480392157
南瓜子仁,100,569.333333333333,5.69333333333333
南瓜果脯,100,336.5,3.365
南瓜油,100,463.5,8.83
南瓜粉,100,331.5,3.315
南瓜花,100,15,0.15
南瓜葉,100,20.3333333333333,0.203333333333333
南豆腐,100,57,0.57
博伊森莓,100,69,0.69
卡啦雞腿堡,188.5,529,2.4845764143
卡布奇諾,305,123.5,0.409177927928
印度薄脆餅,100,444,4.44
印度蘋果,96.6666666666667,47.3333333333333,0.489629629629667
即溶咖啡,100,230,3.6
即溶檸檬紅茶,100,395,3.95
即食燕麥片,100,259,4.05
卵磷脂沙拉油,100,462,8.8
卷心生菜,100,12,0.12
原味優酪乳,230,180,0.782608695652
原味高湯,100,2,0.02
厥子,100,23,0.23
參杞茶,100,49,0.29
參魚,100,124,1.24
叉燒包,92,248.142857142857,2.6945850202425
叉燒肉,78.5,208.5,3.3135714285725
口蘑,100,253.666666666667,2.53666666666667
口頭魚,78,134,1.86642857143
口香糖,100,222.5,4.24
