燕窩飲料,,35,,1罐
燕窩飲料,100,35,0.35,
臭都魚,1兩,,,
臭都魚,100,164,1.64,
雞油菌,100,21,0.21,
雞油菌,100,21,0.21,
洋葱,100,40,0.4,
洋葱,100,42,0.42,
洋葱,100,44,0.44,
洋葱,100,19,0.19,
洋葱,100,349,3.49,
洋葱,100,29,0.29,
洋葱,100,26,0.26,
洋葱,100,28,0.28,
洋葱,100,35,0.35,
洋葱,100,26,0.26,
洋葱,100,28,0.28,
洋葱,100,342,3.42,
洋葱,100,339,3.39,
洋葱,100,40,0.4,
不二家巧克力,26,142,5.46153846154,
不二家巧克力,26,142,5.46153846154,1盒
鱈魚香絲,,90,,1包
鱈魚香絲,30,91,3.03333333333,
雞血,100,49,0.49,
雞血,100,49,0.49,
雞血,100,49,0.49,
野兔肉,100,84,0.84,
野兔肉,100,173,1.73,
野兔肉,100,114,1.14,
藍莓,100,57,0.57,
藍莓,100,88,0.88,
藍莓,100,88,0.88,
藍莓,100,81,0.81,
藍莓,100,51,0.51,
藍莓,100,53,0.53,
藍莓,100,73,0.73,
藍莓,100,78,0.78,
藍莓,100,54,0.54,
鮪排,,71.5,,1個
鮪排,100,143,1.43,
棗,100,264,2.64,
棗,100,298,2.98,
棗,100,122,1.22,
棗,100,79,0.79,
棗,100,276,2.76,
棗,100,317,3.17,
棗,100,125,1.25,
棗,100,89,0.89,
正牡蠣,,54,,1個
正牡蠣,100,83,0.83,
麥芽油,100,899,8.99,
麥芽油,100,899,8.99,
肉鬆蛋三明治,140,444,3.17142857143,
肉鬆蛋三明治,,346,,1份
大北方豆,100,339,3.39,
大北方豆,100,118,1.18,
大北方豆,100,118,1.18,
大北方豆,100,114,1.14,
黑牛肝菌,100,29,0.29,
黑牛肝菌,100,29,0.29,
麒麟啤酒,350,147,0.42,
麒麟啤酒,350,147,0.42,1罐
牛油果,,380,,1個
牛油果,100,160,1.6,
牛油果,100,207,2.07,
牛油果,100,205,2.05,
牛油果,100,238,2.38,
鮮肉湯包,,226.8,,1個
鮮肉湯包,100,252,2.52,
全脂奶粉,35,177,5.05714285714,
全脂奶粉,100,504,5.04,
全脂奶粉,100,504,5.04,
全脂奶粉,35,150,4.28571428571,4湯匙
全脂奶粉,35,150,4.28571428571,4湯匙
全脂奶粉,35,172,4.91428571429,4匙
全脂奶粉,,150,,4湯匙
全脂奶粉,100,507,5.07,
全脂奶粉,22,80,3.63636363636,4.5湯匙
全脂奶粉,100,496,4.96,
全脂奶粉,100,491,4.91,
泡泡糖,100,360,3.6,
泡泡糖,68,360,5.29411764706,
泡泡糖,100,360,3.6,
番石榴,90,42,0.466666666667,1份
番石榴,60,41,0.683333333333,1份
番石榴,180,60,0.333333333333,0.5個
番石榴,97,41,0.422680412371,
番石榴,100,68,0.68,
番石榴,100,53,0.53,
番石榴,100,35,0.35,
番石榴,100,52,0.52,
蝦仁,30,15,0.5,
蝦仁,100,48,0.48,
蝦仁,30,73,2.43333333333,
蝦仁,30,26,0.866666666667,1份
蝦仁,,55,,10隻
蝦仁,100,51,0.51,
蝦仁,157,80,0.509554140127,
鯖魚,100,417,4.17,
鯖魚,1,146,146.0,
鯖魚,1,123,123.0,
鯖魚,1,166,166.0,
鯖魚,1兩,,,
鯖魚,1兩,,,
鯖魚,1兩,,,
鯖魚,,137.8,,1份
鯖魚,,112.5,,1兩
鯖魚,,123,,1兩
鯖魚,,117.6,,1兩
鯖魚,,98,,1兩
鯖魚,100,555,5.55,
鯖魚,100,412,4.12,
鯖魚,100,396,3.96,
鯖魚,100,536,5.36,
鯖魚,100,373,3.73,
鯖魚,100,472,4.72,
鯖魚,100,375,3.75,
鯖魚,100,392,3.92,
鯖魚,100,280,2.8,
鯖魚,100,417,4.17,
鯖魚,100,410,4.1,
鯖魚,100,555,5.55,
鯖魚,100,375,3.75,
鯖魚,100,410,4.1,
鯖魚,100,392,3.92,
鯖魚,100,412,4.12,
鯖魚,100,396,3.96,
鯖魚,100,536,5.36,
鯖魚,100,373,3.73,
鯖魚,100,472,4.72,
鯖魚,100,689,6.89,
鯖魚,33,80,2.42424242424,
鯖魚,100,201,2.01,
鯖魚,100,158,1.58,
鯖魚,100,156,1.56,
梨乾,100,262,2.62,
梨乾,100,140,1.4,
梨乾,100,127,1.27,
蓬萊米油,,44.2,,1小匙
蓬萊米油,100,883,8.83,
鵝蛋白,100,48,0.48,
鵝蛋白,100,48,0.48,
鵝蛋白,100,48,0.48,
柿餅,,62.3,,1個
柿餅,100,187,1.87,
柿餅,97,250,2.57731958763,
柿餅,100,188,1.88,
柿餅,97,250,2.57731958763,
柿餅,100,274,2.74,
柿餅,100,255,2.55,
芝麻湯圓,,360.2,,1個
芝麻湯圓,20,73,3.65,1粒
芝麻湯圓,20,69,3.45,1個
芝麻湯圓,100,343,3.43,
雞腿堡,238,395,1.65966386555,
雞腿堡,,441,,1個
牛肉乾,100,321,3.21,
牛肉乾,20,55,2.75,
牛肉乾,100,327,3.27,
牛肉乾,100,342,3.42,
牛肉乾,20,55,2.75,
牛肉乾,,170,,1個
牛肉乾,100,475,4.75,
牛肉乾,100,300,3.0,
豐力蛋,,73.7,,1粒
豐力蛋,100,134,1.34,
油炸土豆片,100,612,6.12,
油炸土豆片,100,612,6.12,
韭葱,100,61,0.61,
韭葱,100,321,3.21,
韭葱,100,31,0.31,
韭葱,100,31,0.31,
韭葱,100,30,0.3,
蛋酥花生,,120.4,,1個
蛋酥花生,100,602,6.02,
黑醋栗,100,63,0.63,
黑醋栗,100,63,0.63,
